,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,runner,date,match,winner,loser,notes,cage,session_number_difference,winner_cage,loser_cage,subject_cage,agent_cage,subject_strain,agent_strain
0,1,1.1,1.2,1000,1010.0,1,1,2,0,Jocelyn,2022-09-06,1.1vs1.2,1.1,1.2,,CAGE1,1.0,CAGE3,CAGE1,CAGE3,CAGE1,C57,C57
1,1,1.2,1.1,1000,990.0,0,2,1,1,Jocelyn,2022-09-06,1.1vs1.2,1.1,1.2,,CAGE1,1.0,CAGE3,CAGE1,CAGE1,CAGE3,C57,C57
2,2,1.2,1.3,990.0,1000.3,1,2,3,0,Jocelyn,2022-09-06,1.2vs1.3,1.2,1.3,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
3,2,1.3,1.2,1000,989.7,0,3,2,1,Jocelyn,2022-09-06,1.2vs1.3,1.2,1.3,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
4,3,1.4,1.3,1000,1009.7,1,2,4,0,Jocelyn,2022-09-06,1.3vs1.4,1.4,1.3,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
5,3,1.3,1.4,989.7,980.0,0,4,2,1,Jocelyn,2022-09-06,1.3vs1.4,1.4,1.3,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
6,4,1.1,1.3,1010.0,1019.1,1,1,4,0,Jocelyn,2022-09-06,1.1vs1.3,1.1,1.3,"did not realize mouse 3 had 3 matches in a row, fixed for other cages",CAGE1,0.0,CAGE3,CAGE1,CAGE3,CAGE1,C57,C57
7,4,1.3,1.1,980.0,970.9,0,4,1,1,Jocelyn,2022-09-06,1.1vs1.3,1.1,1.3,"did not realize mouse 3 had 3 matches in a row, fixed for other cages",CAGE1,0.0,CAGE3,CAGE1,CAGE1,CAGE3,C57,C57
8,5,1.2,1.4,1000.3,1010.6,1,2,3,0,Jocelyn,2022-09-06,1.2vs1.4,1.2,1.4,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
9,5,1.4,1.2,1009.7,999.4,0,3,2,1,Jocelyn,2022-09-06,1.2vs1.4,1.2,1.4,,CAGE1,0.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
10,6,1.1,1.4,1019.1,1028.5,1,1,3,0,Jocelyn,2022-09-06,1.4vs1.1,1.1,1.4,,CAGE1,0.0,CAGE3,CAGE1,CAGE3,CAGE1,C57,C57
11,6,1.4,1.1,999.4,990.0,0,3,1,1,Jocelyn,2022-09-06,1.4vs1.1,1.1,1.4,,CAGE1,0.0,CAGE3,CAGE1,CAGE1,CAGE3,C57,C57
12,7,1.2,1.3,1010.6,1019.5,1,2,4,0,Meghan,2022-09-07,1.3vs1.2,1.2,1.3,,CAGE1,1.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
13,7,1.3,1.2,970.9,962.0,0,4,2,1,Meghan,2022-09-07,1.3vs1.2,1.2,1.3,,CAGE1,1.0,CAGE1,CAGE1,CAGE1,CAGE1,C57,C57
14,8,1.1,1.4,1028.5,1037.4,1,1,3,0,Meghan,2022-09-07,1.4vs1.1,1.1,1.4,,CAGE1,0.0,CAGE3,CAGE1,CAGE3,CAGE1,C57,C57
